province,city,accumulated_confirmed,accumulated_suspected,accumulated_death,accumulated_recovered,time
重庆,石柱土家族自治县,10,0,0,0,2020/02/01
重庆,石柱土家族自治县,10,0,0,0,2020/02/02
重庆,石柱土家族自治县,10,0,0,0,2020/02/03
重庆,石柱土家族自治县,12,0,0,0,2020/02/04
重庆,石柱土家族自治县,12,0,0,0,2020/02/05
重庆,石柱土家族自治县,12,0,0,0,2020/02/06
重庆,渝北区,4,0,0,0,2020/01/26
重庆,渝北区,5,0,0,0,2020/01/27
重庆,渝北区,6,0,0,0,2020/01/28
重庆,渝北区,6,0,0,0,2020/01/29
重庆,渝北区,8,0,0,0,2020/01/30
重庆,渝北区,10,0,0,0,2020/01/31
重庆,渝北区,11,0,0,0,2020/02/01
重庆,渝北区,12,0,0,0,2020/02/02
重庆,渝北区,12,0,0,0,2020/02/03
重庆,渝北区,12,0,0,0,2020/02/04
重庆,渝北区,12,0,0,0,2020/02/05
重庆,渝北区,12,0,0,0,2020/02/06
重庆,长寿区,5,0,0,0,2020/01/26
重庆,长寿区,6,0,0,0,2020/01/27
重庆,长寿区,7,0,0,0,2020/01/28
重庆,长寿区,7,0,0,0,2020/01/29
重庆,长寿区,7,0,0,0,2020/01/30
重庆,长寿区,9,0,0,0,2020/01/31
重庆,长寿区,10,0,0,0,2020/02/01
重庆,长寿区,11,0,0,0,2020/02/02
重庆,长寿区,11,0,0,0,2020/02/03
重庆,长寿区,12,0,0,0,2020/02/04
重庆,长寿区,12,0,0,0,2020/02/05
重庆,长寿区,12,0,0,0,2020/02/06
重庆,奉节县,3,0,0,0,2020/01/26
重庆,奉节县,3,0,0,0,2020/01/27
重庆,奉节县,3,0,0,0,2020/01/28
重庆,奉节县,4,0,0,0,2020/01/29
重庆,奉节县,4,0,0,0,2020/01/30
重庆,奉节县,5,0,0,0,2020/01/31
重庆,奉节县,5,0,0,0,2020/02/01
重庆,奉节县,8,0,0,0,2020/02/02
重庆,奉节县,9,0,0,0,2020/02/03
重庆,奉节县,9,0,0,1,2020/02/04
重庆,奉节县,11,0,0,1,2020/02/05
重庆,奉节县,11,0,0,1,2020/02/06
重庆,巫溪县,3,0,0,0,2020/01/26
重庆,巫溪县,5,0,0,0,2020/01/27
重庆,巫溪县,5,0,0,0,2020/01/28
重庆,巫溪县,5,0,0,0,2020/01/29
重庆,巫溪县,7,0,0,0,2020/01/30
重庆,巫溪县,10,0,0,0,2020/01/31
重庆,巫溪县,10,0,0,0,2020/02/01
重庆,巫溪县,11,0,0,0,2020/02/02
重庆,巫溪县,11,0,0,0,2020/02/03
重庆,巫溪县,11,0,0,0,2020/02/04
重庆,巫溪县,11,0,0,1,2020/02/05
重庆,巫溪县,11,0,0,1,2020/02/06
重庆,合川区,2,0,0,0,2020/01/26
重庆,合川区,3,0,0,0,2020/01/27
重庆,合川区,4,0,0,0,2020/01/28
重庆,合川区,5,0,0,0,2020/01/29
重庆,合川区,6,0,0,0,2020/01/30
重庆,合川区,6,0,0,0,2020/01/31
重庆,合川区,8,0,0,0,2020/02/01
重庆,合川区,9,0,0,0,2020/02/02
重庆,合川区,9,0,0,0,2020/02/03
重庆,合川区,9,0,0,0,2020/02/04
重庆,合川区,11,0,0,0,2020/02/05
重庆,合川区,11,0,0,0,2020/02/06
重庆,潼南区,2,0,0,0,2020/01/27
重庆,潼南区,2,0,0,0,2020/01/28
重庆,潼南区,2,0,0,0,2020/01/29
重庆,潼南区,2,0,0,0,2020/01/30
重庆,潼南区,2,0,0,0,2020/01/31
重庆,潼南区,2,0,0,0,2020/02/01
重庆,潼南区,2,0,0,0,2020/02/02
重庆,潼南区,4,0,0,0,2020/02/03
重庆,潼南区,5,0,0,0,2020/02/04
重庆,潼南区,7,0,0,0,2020/02/05
重庆,潼南区,10,0,0,0,2020/02/06
重庆,丰都县,1,0,0,0,2020/01/26
重庆,丰都县,3,0,0,0,2020/01/27
重庆,丰都县,3,0,0,0,2020/01/28
重庆,丰都县,3,0,0,0,2020/01/29
重庆,丰都县,3,0,0,0,2020/01/30
重庆,丰都县,3,0,0,0,2020/01/31
重庆,丰都县,5,0,0,1,2020/02/01
重庆,丰都县,5,0,0,1,2020/02/02
重庆,丰都县,5,0,0,1,2020/02/03
重庆,丰都县,6,0,0,1,2020/02/04
重庆,丰都县,6,0,0,1,2020/02/05
重庆,丰都县,9,0,0,1,2020/02/06
重庆,巫山县,3,0,0,0,2020/01/26
重庆,巫山县,5,0,0,0,2020/01/27
